"Species","raw_PCA_equal15"
"Arctostaphyllos",0.133333333333333
"Asahinea chrysantha",0.2
"Carex sp.",0.133333333333333
"Cladonia gracilis",0.133333333333333
"Cladonia mitis",0.2
"Cladonia rangiferina",0.2
"Cladonia steallaris",0.2
"Cladonia stygia",0.2
"Dryas sp.",0.2
"Flavocetraria nivalis",0.133333333333333
"Ledum decumbens",0.266666666666667
"Nephroma arcticum",0.133333333333333
"Picea mariana",0
"Pilophorus acicularis",0
"Rhizocarpon geographicum",0.0666666666666667
"Rosa acicularis",0
"Salix alaxensis",0.0666666666666667
"Salix glauca",0.266666666666667
"Umbilicaria hyperborea",0.0666666666666667
"Vaccinium vitis-idea",0.2
