"Aulacomnium palustre","Aulacomnium turgidum","Ceratadon purpureus","Dicranum sp.","Hylocomium splendens","Plagiomnium sp.","Pleurozium schreberi","Polytrichum juniperinum","Polytrichum sp.","Racomitrium lanoiginosum","Rhytidum rugosum","Sphagnum fuscum","Sphagnum sp.","Tomenthypnum nitens","class.error"
1,1,1,0,0,0,0,0,1,0,1,0,0,0,0.8
0,1,0,1,2,0,0,0,0,0,1,0,0,0,0.8
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,2,0,0,0,0,0,0,0,0,0,0,0.5
0,0,0,0,11,0,0,1,0,0,0,0,0,0,0.0833333333333334
0,0,0,0,0,2,0,0,1,0,0,0,0,0,0.333333333333333
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0.333333333333333
0,0,0,0,2,0,0,4,1,0,0,0,0,0,0.428571428571429
0,0,0,0,0,0,0,1,8,0,0,0,0,0,0.111111111111111
0,0,0,0,0,0,0,1,0,3,0,0,0,0,0.25
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.666666666666667
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,6,0,0.142857142857143
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
