"Alectoria ochroleuca","Alnus sp.","Arctocetraria centrifuga","Arctostaphyllos","Asahinea chrysantha","Aulacomnium palustre","Aulacomnium turgidum","Betula nana","Betula neoalaskana","Bryoria sp.","Calamogrostis sp.","Carex sp.","Ceratadon purpureus","Cetraria islandica","Cetraria laevigata","Cladonia amaurocraea","Cladonia cornuta","Cladonia gracilis","Cladonia mitis","Cladonia rangiferina","Cladonia steallaris","Cladonia stygia","Cladonia sulphurina","Cladonia uncialis","Dicranum sp.","Empetrum nigrum","Equisetum arvense","Equisetum sylvaticum","Eriophorum vaginatum","Evernia mesomorpha","Flavocetraria cucculata","Flavocetraria nivalis","Heracleum lanatum","Hylocomium splendens","Hypogymnia austerodes","Icmadophila ericetorum","Iris sp.","Ledum decumbens","Loisleuria procumbens","Lupinus sp.","Masonhalea richardsonii","Melanelia sp.","Nephroma arcticum","Parmelia omphalodes","Parmeliopsis ambigua","Parmelis sulcata","Pedicularis racemosa","Pedicularis sudetica","Peltigera apthosa","Peltigera malacea","Peltigera scabrata","Peltigers leucophlebia","Petasites frigida","Picea mariana","Plagiomnium sp.","Pleurozium schreberi","Polytrichum juniperinum","Polytrichum sp.","Populus balsamifera","Porpidia sp.","Racomitrium lanoiginosum","Rhizocarpon geographicum","Rhizocarpon sp.","Rhytidum rugosum","Rosa acicularis","Rubus sp.","Salix (wooly)","Salix alaxensis","Salix arbusculoides","Salix glauca","Salix lanata","Salix ovalifolia","Salix pulchra","Salix richardsonii","Sphagnum fuscum","Sphagnum sp.","Stereocaulon sp.","Toefeldia sp.","Tomenthypnum nitens","Trapelopsis granulosa","Umbilicaria arctica","Umbilicaria hyperborea","Unknown","Usnea lapponica","Usnea scabrata","Vaccinium vitis-idea","Vulpicida pinastri","class.error"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.75
0,22,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352941176470588
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5625
1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222
