"Aulacomnium palustre","Aulacomnium turgidum","Ceratadon purpureus","Dicranum sp.","Hylocomium splendens","Plagiomnium sp.","Pleurozium schreberi","Polytrichum juniperinum","Polytrichum sp.","Racomitrium lanoiginosum","Rhytidum rugosum","Sphagnum fuscum","Sphagnum sp.","Tomenthypnum nitens","class.error"
3,1,0,0,0,0,0,0,0,0,1,0,0,0,0.4
1,1,0,0,1,0,0,0,0,0,2,0,0,0,0.8
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,7,0,0,0,0,0,2,1,0,0,0.3
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,4,2,0,0,0,0,0,0.428571428571429
0,0,0,0,0,0,0,1,11,0,0,0,0,0,0.0833333333333334
0,0,0,0,0,0,0,1,0,2,0,0,0,0,0.333333333333333
1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
