"Species","smooth_allbands_equal15"
"Asahinea chrysantha",0.2
"Carex sp.",0.0666666666666667
"Cladonia gracilis",0
"Cladonia mitis",0.0666666666666667
"Cladonia stygia",0.266666666666667
"Evernia mesomorpha",0.0666666666666667
"Flavocetraria nivalis",0.133333333333333
"Ledum decumbens",0.2
"Picea mariana",0.0666666666666667
"Pilophorus acicularis",0.0666666666666667
"Rhizocarpon geographicum",0
"Rosa acicularis",0
"Salix alaxensis",0.2
"Salix glauca",0.133333333333333
"Umbilicaria hyperborea",0
