"Species","smooth_010nm_more10"
"Alnus sp.",0.318181818181818
"Arctostaphyllos",0.526315789473684
"Asahinea chrysantha",0.368421052631579
"Betula nana",0.410714285714286
"Bryoria sp.",0.2
"Carex sp.",0.375
"Cetraria islandica",0.5
"Cladonia gracilis",0.444444444444444
"Cladonia mitis",0.647058823529412
"Cladonia rangiferina",0.55
"Cladonia steallaris",0.45
"Cladonia stygia",0.722222222222222
"Cladonia uncialis",0.5
"Dryas alleghenies",0.154411764705882
"Dryas octopetala",0.0522875816993464
"Dryas sp.",0.325581395348837
"Empetrum nigrum",0.416666666666667
"Eriophorum vaginatum",0.1
"Evernia mesomorpha",0.3
"Flavocetraria cucculata",0.857142857142857
"Flavocetraria nivalis",0.526315789473684
"Hylocomium splendens",0.538461538461538
"Hypogymnia austerodes",0.461538461538462
"Ledum decumbens",0.894736842105263
"Lupinus sp.",0.166666666666667
"Masonhalea richardsonii",0.428571428571429
"Melanelia sp.",0.461538461538462
"Nephroma arcticum",0.333333333333333
"Parmelis sulcata",0.166666666666667
"Pedicularis racemosa",0.272727272727273
"Peltigera apthosa",0.5
"Picea mariana",0.0588235294117647
"Pilophorus acicularis",0.133333333333333
"Polytrichum juniperinum",0.7
"Polytrichum sp.",0.615384615384615
"Porpidia sp.",0.0909090909090909
"Rhizocarpon geographicum",0.0555555555555556
"Rosa acicularis",0.111111111111111
"Rubus sp.",0.5
"Salix (wooly)",0.3
"Salix alaxensis",0.127659574468085
"Salix glauca",0.625
"Salix pulchra",0.6
"Umbilicaria hyperborea",0.266666666666667
"Usnea lapponica",0.333333333333333
"Usnea scabrata",0.166666666666667
"Vaccinium vitis-idea",0.714285714285714
"Vulpicida pinastri",0.416666666666667
