"Species","smooth_050nm_more10"
"Bryoria sp.",0.2
"Dryas alleghenies",0.143382352941177
"Dryas octopetala",0.0490196078431373
"Eriophorum vaginatum",0.1
"Lupinus sp.",0.166666666666667
"Parmelis sulcata",0.166666666666667
"Pedicularis racemosa",0.272727272727273
"Picea mariana",0.0588235294117647
"Pilophorus acicularis",0.2
"Porpidia sp.",0.181818181818182
"Rhizocarpon geographicum",0.0555555555555556
"Rosa acicularis",0
"Salix alaxensis",0.0851063829787234
"Umbilicaria hyperborea",0.2
"Usnea scabrata",0.166666666666667
